n k length
106 25 0
106 26 0
106 27 0
106 28 0
106 29 0
106 30 0
106 31 0
106 32 0
106 33 0
106 34 0
106 35 0
106 36 0
106 37 0
106 38 0
106 39 0
106 40 0
106 41 0
106 42 0
106 43 0
106 44 0
106 45 0
106 46 0
106 47 0
106 48 0
106 49 0
106 50 0
106 51 0
106 52 0
106 53 0
106 54 0
106 55 0
106 56 0
106 57 0
106 58 0
106 59 0
106 60 0
106 61 0
106 62 0
106 63 0
106 64 0
106 65 0
106 66 0
106 67 0
106 68 0
106 69 0
106 70 0
106 71 0
106 72 0
106 73 0
106 74 0
106 75 0
106 76 0
106 77 0
106 78 0
106 79 0
106 80 0
106 81 0
106 82 0
106 83 0
106 84 0
106 85 0
106 86 0
106 87 0
106 88 0
106 89 0
106 90 0
106 91 0
106 92 0
106 93 0
106 94 0
106 95 0
106 96 0
106 97 0
106 98 0
106 99 0
106 100 0
106 101 0
106 102 0
106 103 0
106 104 0
106 105 0
106 106 0
107 0 1
107 1 0
107 2 0
107 3 0
107 4 0
107 5 0
107 6 0
107 7 0
107 8 0
107 9 0
107 10 0
107 11 0
107 12 0
107 13 0
107 14 0
107 15 0
107 16 0
107 17 0
107 18 0
107 19 0
107 20 0
107 21 0
107 22 0
107 23 0
107 24 0
107 25 0
107 26 0
107 27 0
107 28 0
107 29 0
107 30 0
107 31 0
107 32 0
107 33 0
107 34 0
107 35 0
107 36 0
107 37 0
107 38 0
107 39 0
107 40 0
107 41 0
107 42 0
107 43 0
107 44 0
107 45 0
107 46 0
107 47 0
107 48 0
107 49 0
107 50 0
107 51 0
107 52 0
107 53 0
107 54 0
107 55 0
107 56 0
107 57 0
107 58 0
107 59 0
107 60 0
107 61 0
107 62 0
107 63 0
107 64 0
107 65 0
107 66 0
107 67 0
107 68 0
107 69 0
107 70 0
107 71 0
107 72 0
107 73 0
107 74 0
107 75 0
107 76 0
107 77 0
107 78 0
107 79 0
107 80 0
107 81 0
107 82 0
107 83 0
107 84 0
107 85 0
107 86 0
107 87 0
107 88 0
107 89 0
107 90 0
107 91 0
107 92 0
107 93 0
107 94 0
107 95 0
107 96 0
107 97 0
107 98 0
107 99 0
107 100 0
107 101 0
107 102 0
107 103 0
107 104 0
107 105 0
107 106 0
107 107 0
108 0 1
108 1 0
108 2 0
108 3 0
108 4 0
108 5 0
108 6 0
108 7 0
108 8 0
108 9 0
108 10 0
108 11 0
108 12 0
108 13 0
108 14 0
108 15 0
108 16 0
108 17 0
108 18 0
108 19 0
108 20 0
108 21 0
108 22 0
108 23 0
108 24 0
108 25 0
108 26 0
108 27 0
108 28 0
108 29 0
108 30 0
108 31 0
108 32 0
108 33 0
108 34 0
108 35 0
108 36 0
108 37 0
108 38 0
108 39 0
108 40 0
108 41 0
108 42 0
108 43 0
108 44 0
108 45 0
108 46 0
108 47 0
108 48 0
108 49 0
108 50 0
108 51 0
108 52 0
108 53 0
108 54 0
108 55 0
108 56 0
108 57 0
108 58 0
108 59 0
108 60 0
108 61 0
108 62 0
108 63 0
108 64 0
108 65 0
108 66 0
108 67 0
108 68 0
108 69 0
108 70 0
108 71 0
108 72 0
108 73 0
108 74 0
108 75 0
108 76 0
108 77 0
108 78 0
108 79 0
108 80 0
108 81 0
108 82 0
108 83 0
108 84 0
108 85 0
108 86 0
108 87 0
108 88 0
108 89 0
108 90 0
108 91 0
108 92 0
108 93 0
108 94 0
108 95 0
108 96 0
108 97 0
108 98 0
108 99 0
108 100 0
108 101 0
108 102 0
108 103 0
108 104 0
108 105 0
108 106 0
108 107 0
108 108 0
109 0 1
109 1 0
109 2 0
109 3 0
109 4 0
109 5 0
109 6 0
109 7 0
109 8 0
109 9 0
109 10 0
109 11 0
109 12 0
109 13 0
109 14 0
109 15 0
109 16 0
109 17 0
109 18 0
109 19 0
109 20 0
109 21 0
109 22 0
109 23 0
109 24 0
109 25 0
109 26 0
109 27 0
109 28 0
109 29 0
109 30 0
109 31 0
109 32 0
109 33 0
109 34 0
109 35 0
109 36 0
109 37 0
109 38 0
109 39 0
109 40 0
109 41 0
109 42 0
109 43 0
109 44 0
109 45 0
109 46 0
109 47 0
109 48 0
109 49 0
109 50 0
109 51 0
109 52 0
109 53 0
109 54 0
109 55 0
109 56 0
109 57 0
109 58 0
109 59 0
109 60 0
109 61 0
109 62 0
109 63 0
109 64 0
109 65 0
109 66 0
109 67 0
109 68 0
109 69 0
109 70 0
109 71 0
109 72 0
109 73 0
109 74 0
109 75 0
109 76 0
109 77 0
109 78 0
109 79 0
109 80 0
109 81 0
109 82 0
109 83 0
109 84 0
109 85 0
109 86 0
109 87 0
109 88 0
109 89 0
109 90 0
109 91 0
109 92 0
109 93 0
109 94 0
109 95 0
109 96 0
109 97 0
109 98 0
109 99 0
109 100 0
109 101 0
109 102 0
109 103 0
109 104 0
109 105 0
109 106 0
109 107 0
109 108 0
109 109 0
110 0 1
110 1 0
110 2 0
110 3 0
110 4 0
110 5 0
110 6 0
110 7 0
110 8 0
110 9 0
110 10 0
110 11 0
110 12 0
110 13 0
110 14 0
110 15 0
110 16 0
110 17 0
110 18 0
110 19 0
110 20 0
110 21 0
110 22 0
110 23 0
110 24 0
110 25 0
110 26 0
110 27 0
110 28 0
110 29 0
110 30 0
110 31 0
110 32 0
110 33 0
110 34 0
110 35 0
110 36 0
110 37 0
110 38 0
110 39 0
110 40 0
110 41 0
110 42 0
110 43 0
110 44 0
110 45 0
110 46 0
110 47 0
110 48 0
110 49 0
110 50 0
110 51 0
110 52 0
110 53 0
110 54 0
110 55 0
110 56 0
110 57 0
110 58 0
110 59 0
110 60 0
110 61 0
110 62 0
110 63 0
110 64 0
110 65 0
110 66 0
110 67 0
110 68 0
110 69 0
110 70 0
110 71 0
110 72 0
110 73 0
110 74 0
110 75 0
110 76 0
110 77 0
110 78 0
110 79 0
110 80 0
110 81 0
110 82 0
110 83 0
110 84 0
110 85 0
110 86 0
110 87 0
110 88 0
110 89 0
110 90 0
110 91 0
110 92 0
110 93 0
110 94 0
110 95 0
110 96 0
110 97 0
110 98 0
110 99 0
110 100 0
110 101 0
110 102 0
110 103 0
110 104 0
110 105 0
110 106 0
110 107 0
110 108 0
110 109 0
110 110 0
111 0 1
111 1 0
111 2 0
111 3 0
111 4 0
111 5 0
111 6 0
111 7 0
111 8 0
111 9 0
111 10 0
111 11 0
111 12 0
111 13 0
111 14 0
111 15 0
111 16 0
111 17 0
111 18 0
111 19 0
111 20 0
111 21 0
111 22 0
111 23 0
111 24 0
111 25 0
111 26 0
111 27 0
111 28 0
111 29 0
111 30 0
111 31 0
111 32 0
111 33 0
111 34 0
111 35 0
111 36 0
111 37 0
111 38 0
111 39 0
111 40 0
111 41 0
111 42 0
111 43 0
111 44 0
111 45 0
111 46 0
111 47 0
111 48 0
111 49 0
111 50 0
111 51 0
111 52 0
111 53 0
111 54 0
111 55 0
111 56 0
111 57 0
111 58 0
111 59 0
111 60 0
111 61 0
111 62 0
111 63 0
111 64 0
111 65 0
111 66 0
111 67 0
111 68 0
111 69 0
111 70 0
111 71 0
111 72 0
111 73 0
111 74 0
111 75 0
111 76 0
111 77 0
111 78 0
111 79 0
111 80 0
111 81 0
111 82 0
111 83 0
111 84 0
111 85 0
111 86 0
111 87 0
111 88 0
111 89 0
111 90 0
111 91 0
111 92 0
111 93 0
111 94 0
111 95 0
111 96 0
111 97 0
111 98 0
111 99 0
111 100 0
111 101 0
111 102 0
111 103 0
111 104 0
111 105 0
111 106 0
111 107 0
111 108 0
111 109 0
111 110 0
111 111 0
112 0 1
112 1 0
112 2 0
112 3 0
112 4 0
112 5 0
112 6 0
112 7 0
112 8 0
112 9 0
112 10 0
112 11 0
112 12 0
112 13 0
112 14 0
112 15 0
112 16 0
112 17 0
112 18 0
112 19 0
112 20 0
112 21 0
112 22 0
112 23 0
112 24 0
112 25 0
112 26 0
112 27 0
112 28 0
112 29 0
112 30 0
112 31 0
112 32 0
112 33 0
112 34 0
112 35 0
112 36 0
112 37 0
112 38 0
112 39 0
112 40 0
112 41 0
112 42 0
112 43 0
112 44 0
112 45 0
112 46 0
112 47 0
112 48 0
112 49 0
112 50 0
112 51 0
112 52 0
112 53 0
112 54 0
112 55 0
112 56 0
112 57 0
112 58 0
112 59 0
112 60 0
112 61 0
112 62 0
112 63 0
112 64 0
112 65 0
112 66 0
112 67 0
112 68 0
112 69 0
112 70 0
112 71 0
112 72 0
112 73 0
112 74 0
112 75 0
112 76 0
112 77 0
112 78 0
112 79 0
112 80 0
112 81 0
112 82 0
112 83 0
112 84 0
112 85 0
112 86 0
112 87 0
112 88 0
112 89 0
112 90 0
112 91 0
112 92 0
112 93 0
112 94 0
112 95 0
112 96 0
112 97 0
112 98 0
112 99 0
112 100 0
112 101 0
112 102 0
112 103 0
112 104 0
112 105 0
112 106 0
112 107 0
112 108 0
112 109 0
112 110 0
112 111 0
112 112 0
113 0 1
113 1 0
113 2 0
113 3 0
113 4 0
113 5 0
113 6 0
113 7 0
113 8 0
113 9 0
113 10 0
113 11 0
113 12 0
113 13 0
113 14 0
113 15 0
113 16 0
113 17 0
113 18 0
113 19 0
113 20 0
113 21 0
113 22 0
113 23 0
113 24 0
113 25 0
113 26 0
113 27 0
113 28 0
113 29 0
113 30 0
113 31 0
113 32 0
113 33 0
113 34 0
113 35 0
113 36 0
113 37 0
113 38 0
113 39 0
113 40 0
113 41 0
113 42 0
113 43 0
113 44 0
113 45 0
113 46 0
113 47 0
113 48 0
113 49 0
113 50 0
113 51 0
113 52 0
113 53 0
113 54 0
113 55 0
113 56 0
113 57 0
113 58 0
113 59 0
113 60 0
113 61 0
113 62 0
113 63 0
113 64 0
113 65 0
113 66 0
113 67 0
113 68 0
113 69 0
113 70 0
113 71 0
113 72 0
113 73 0
113 74 0
113 75 0
113 76 0
113 77 0
113 78 0
113 79 0
113 80 0
113 81 0
113 82 0
113 83 0
113 84 0
113 85 0
113 86 0
113 87 0
113 88 0
113 89 0
113 90 0
113 91 0
113 92 0
113 93 0
113 94 0
113 95 0
113 96 0
113 97 0
113 98 0
113 99 0
113 100 0
113 101 0
113 102 0
113 103 0
113 104 0
113 105 0
113 106 0
113 107 0
113 108 0
113 109 0
113 110 0
113 111 0
113 112 0
113 113 0
114 0 1
114 1 0
114 2 0
114 3 0
114 4 0
114 5 0
114 6 0
114 7 0
114 8 0
114 9 0
114 10 0
114 11 0
114 12 0
114 13 0
114 14 0
114 15 0
114 16 0
114 17 0
114 18 0
114 19 0
114 20 0
114 21 0
114 22 0
114 23 0
114 24 0
114 25 0
114 26 0
114 27 0
114 28 0
114 29 0
114 30 0
114 31 0
114 32 0
114 33 0
114 34 0
114 35 0
114 36 0
114 37 0
114 38 0
114 39 0
114 40 0
114 41 0
114 42 0
114 43 0
114 44 0
114 45 0
114 46 0
114 47 0
114 48 0
114 49 0
114 50 0
114 51 0
114 52 0
114 53 0
114 54 0
114 55 0
114 56 0
114 57 0
114 58 0
114 59 0
114 60 0
114 61 0
114 62 0
114 63 0
114 64 0
114 65 0
114 66 0
114 67 0
114 68 0
114 69 0
114 70 0
114 71 0
114 72 0
114 73 0
114 74 0
114 75 0
114 76 0
114 77 0
114 78 0
114 79 0
114 80 0
114 81 0
114 82 0
114 83 0
114 84 0
114 85 0
114 86 0
114 87 0
114 88 0
114 89 0
114 90 0
114 91 0
114 92 0
114 93 0
114 94 0
114 95 0
114 96 0
114 97 0
114 98 0
114 99 0
114 100 0
114 101 0
114 102 0
114 103 0
114 104 0
114 105 0
114 106 0
114 107 0
114 108 0
114 109 0
114 110 0
114 111 0
114 112 0
114 113 0
114 114 0
115 0 1
115 1 0
115 2 0
115 3 0
115 4 0
115 5 0
115 6 0
115 7 0
115 8 0
115 9 0
115 10 0
115 11 0
115 12 0
115 13 0
115 14 0
115 15 0
115 16 0
115 17 0
115 18 0
115 19 0
115 20 0
115 21 0
115 22 0
115 23 0
115 24 0
115 25 0
115 26 0
115 27 0
115 28 0
115 29 0
115 30 0
115 31 0
115 32 0
115 33 0
115 34 0
115 35 0
115 36 0
115 37 0
115 38 0
115 39 0
115 40 0
115 41 0
115 42 0
115 43 0
115 44 0
115 45 0
115 46 0
115 47 0
115 48 0
115 49 0
115 50 0
115 51 0
115 52 0
115 53 0
115 54 0
115 55 0
115 56 0
115 57 0
115 58 0
115 59 0
115 60 0
115 61 0
115 62 0
115 63 0
115 64 0
115 65 0
115 66 0
115 67 0
115 68 0
115 69 0
115 70 0
115 71 0
115 72 0
115 73 0
115 74 0
115 75 0
115 76 0
115 77 0
115 78 0
115 79 0
115 80 0
115 81 0
115 82 0
115 83 0
115 84 0
115 85 0
115 86 0
115 87 0
115 88 0
115 89 0
115 90 0
115 91 0
115 92 0
115 93 0
115 94 0
115 95 0
115 96 0
115 97 0
115 98 0
115 99 0
115 100 0
115 101 0
115 102 0
115 103 0
115 104 0
115 105 0
115 106 0
115 107 0
115 108 0
115 109 0
115 110 0
115 111 0
115 112 0
115 113 0
115 114 0
115 115 0
116 0 1
116 1 0
116 2 0
116 3 0
116 4 0
116 5 0
116 6 0
116 7 0
116 8 0
116 9 0
116 10 0
116 11 0
116 12 0
116 13 0
116 14 0
116 15 0
116 16 0
116 17 0
116 18 0
116 19 0
116 20 0
116 21 0
116 22 0
116 23 0
116 24 0
116 25 0
116 26 0
116 27 0
116 28 0
116 29 0
116 30 0
116 31 0
116 32 0
116 33 0
116 34 0
116 35 0
116 36 0
116 37 0
116 38 0
116 39 0
116 40 0
116 41 0
116 42 0
116 43 0
116 44 0
116 45 0
116 46 0
116 47 0
116 48 0
116 49 0
116 50 0
116 51 0
116 52 0
116 53 0
116 54 0
116 55 0
116 56 0
116 57 0
116 58 0
116 59 0
116 60 0
116 61 0
116 62 0
116 63 0
116 64 0
116 65 0
116 66 0
116 67 0
116 68 0
116 69 0
116 70 0
116 71 0
116 72 0
116 73 0
116 74 0
116 75 0
116 76 0
116 77 0
116 78 0
116 79 0
116 80 0
116 81 0
116 82 0
116 83 0
116 84 0
116 85 0
116 86 0
116 87 0
116 88 0
116 89 0
116 90 0
116 91 0
116 92 0
116 93 0
116 94 0
116 95 0
116 96 0
116 97 0
116 98 0
116 99 0
116 100 0
116 101 0
116 102 0
116 103 0
116 104 0
116 105 0
116 106 0
116 107 0
116 108 0
116 109 0
116 110 0
116 111 0
116 112 0
116 113 0
116 114 0
116 115 0
116 116 0
117 0 1
117 1 0
117 2 0
117 3 0
117 4 0
117 5 0
117 6 0
117 7 0
117 8 0
117 9 0
117 10 0
117 11 0
117 12 0
117 13 0
117 14 0
117 15 0
117 16 0
117 17 0
117 18 0
117 19 0
117 20 0
117 21 0
117 22 0
117 23 0
117 24 0
117 25 0
117 26 0
117 27 0
117 28 0
117 29 0
117 30 0
117 31 0
117 32 0
117 33 0
117 34 0
117 35 0
117 36 0
117 37 0
117 38 0
117 39 0
117 40 0
117 41 0
117 42 0
117 43 0
117 44 0
117 45 0
117 46 0
117 47 0
117 48 0
117 49 0
117 50 0
117 51 0
117 52 0
117 53 0
117 54 0
117 55 0
117 56 0
117 57 0
117 58 0
117 59 0
117 60 0
117 61 0
117 62 0
117 63 0
117 64 0
117 65 0
117 66 0
117 67 0
117 68 0
117 69 0
117 70 0
117 71 0
117 72 0
117 73 0
117 74 0
117 75 0
117 76 0
117 77 0
117 78 0
117 79 0
117 80 0
117 81 0
117 82 0
117 83 0
117 84 0
117 85 0
117 86 0
117 87 0
117 88 0
117 89 0
117 90 0
117 91 0
117 92 0
117 93 0
117 94 0
117 95 0
117 96 0
117 97 0
117 98 0
117 99 0
117 100 0
117 101 0
117 102 0
117 103 0
117 104 0
117 105 0
117 106 0
117 107 0
117 108 0
117 109 0
117 110 0
117 111 0
117 112 0
117 113 0
117 114 0
117 115 0
117 116 0
117 117 0
118 0 1
118 1 0
118 2 0
118 3 0
118 4 0
118 5 0
118 6 0
118 7 0
118 8 0
118 9 0
118 10 0
118 11 0
118 12 0
118 13 0
118 14 0
118 15 0
118 16 0
118 17 0
118 18 0
118 19 0
118 20 0
118 21 0
118 22 0
118 23 0
118 24 0
118 25 0
118 26 0
118 27 0
118 28 0
118 29 0
118 30 0
118 31 0
118 32 0
118 33 0
118 34 0
118 35 0
118 36 0
118 37 0
118 38 0
118 39 0
118 40 0
118 41 0
118 42 0
118 43 0
118 44 0
118 45 0
118 46 0
118 47 0
118 48 0
118 49 0
118 50 0
118 51 0
118 52 0
118 53 0
118 54 0
118 55 0
118 56 0
118 57 0
118 58 0
118 59 0
118 60 0
118 61 0
118 62 0
118 63 0
118 64 0
118 65 0
118 66 0
118 67 0
118 68 0
118 69 0
118 70 0
118 71 0
118 72 0
118 73 0
118 74 0
118 75 0
118 76 0
118 77 0
118 78 0
118 79 0
118 80 0
118 81 0
118 82 0
118 83 0
118 84 0
118 85 0
118 86 0
118 87 0
118 88 0
118 89 0
118 90 0
118 91 0
118 92 0
118 93 0
118 94 0
118 95 0
118 96 0
118 97 0
118 98 0
118 99 0
118 100 0
118 101 0
118 102 0
118 103 0
118 104 0
118 105 0
118 106 0
118 107 0
118 108 0
118 109 0
118 110 0
118 111 0
118 112 0
118 113 0
118 114 0
118 115 0
118 116 0
118 117 0
118 118 0
119 0 1
119 1 0
119 2 0
119 3 0
119 4 0
119 5 0
119 6 0
119 7 0
119 8 0
119 9 0
119 10 0
119 11 0
119 12 0
119 13 0
119 14 0
119 15 0
119 16 0
119 17 0
119 18 0
119 19 0
119 20 0
119 21 0
119 22 0
119 23 0
119 24 0
119 25 0
119 26 0
119 27 0
119 28 0
119 29 0
119 30 0
119 31 0
119 32 0
119 33 0
119 34 0
119 35 0
119 36 0
119 37 0
119 38 0
119 39 0
119 40 0
119 41 0
119 42 0
119 43 0
119 44 0
119 45 0
119 46 0
119 47 0
119 48 0
119 49 0
119 50 0
119 51 0
119 52 0
119 53 0
119 54 0
119 55 0
119 56 0
119 57 0
119 58 0
119 59 0
119 60 0
119 61 0
119 62 0
119 63 0
119 64 0
119 65 0
119 66 0
119 67 0
119 68 0
119 69 0
119 70 0
119 71 0
119 72 0
119 73 0
119 74 0
119 75 0
119 76 0
119 77 0
119 78 0
119 79 0
119 80 0
119 81 0
119 82 0
119 83 0
119 84 0
119 85 0
119 86 0
119 87 0
119 88 0
119 89 0
119 90 0
119 91 0
119 92 0
119 93 0
119 94 0
119 95 0
119 96 0
119 97 0
119 98 0
119 99 0
119 100 0
119 101 0
119 102 0
119 103 0
119 104 0
119 105 0
119 106 0
119 107 0
119 108 0
119 109 0
119 110 0
119 111 0
119 112 0
119 113 0
119 114 0
119 115 0
119 116 0
119 117 0
119 118 0
119 119 0
120 0 1
120 1 0
120 2 0
120 3 0
120 4 0
120 5 0
120 6 0
120 7 0
120 8 0
120 9 0
120 10 0
120 11 0
120 12 0
120 13 0
120 14 0
120 15 0
120 16 0
120 17 0
120 18 0
120 19 0
120 20 0
120 21 0
120 22 0
120 23 0
120 24 0
120 25 0
120 26 0
120 27 0
120 28 0
120 29 0
120 30 0
120 31 0
120 32 0
120 33 0
120 34 0
120 35 0
120 36 0
120 37 0
120 38 0
120 39 0
120 40 0
120 41 0
120 42 0
120 43 0
120 44 0
120 45 0
120 46 0
120 47 0
120 48 0
120 49 0
120 50 0
120 51 0
120 52 0
120 53 0
120 54 0
120 55 0
120 56 0
120 57 0
120 58 0
120 59 0
120 60 0
120 61 0
120 62 0
120 63 0
120 64 0
120 65 0
120 66 0
120 67 0
120 68 0
120 69 0
120 70 0
120 71 0
120 72 0
120 73 0
120 74 0
120 75 0
120 76 0
120 77 0
120 78 0
120 79 0
120 80 0
120 81 0
120 82 0
120 83 0
120 84 0
120 85 0
120 86 0
120 87 0
120 88 0
120 89 0
120 90 0
120 91 0
120 92 0
120 93 0
120 94 0
120 95 0
120 96 0
120 97 0
120 98 0
120 99 0
120 100 0
120 101 0
120 102 0
120 103 0
120 104 0
120 105 0
120 106 0
120 107 0
120 108 0
120 109 0
120 110 0
120 111 0
120 112 0
120 113 0
120 114 0
120 115 0
120 116 0
120 117 0
120 118 0
120 119 0
120 120 0
121 0 1
121 1 0
121 2 0
121 3 0
121 4 0
121 5 0
121 6 0
121 7 0
121 8 0
121 9 0
121 10 0
121 11 0
121 12 0
121 13 0
121 14 0
121 15 0
121 16 0
121 17 0
121 18 0
121 19 0
121 20 0
121 21 0
121 22 0
121 23 0
121 24 0
121 25 0
121 26 0
121 27 0
121 28 0
121 29 0
121 30 0
121 31 0
121 32 0
121 33 0
121 34 0
121 35 0
121 36 0
121 37 0
121 38 0
121 39 0
121 40 0
121 41 0
121 42 0
121 43 0
121 44 0
121 45 0
121 46 0
121 47 0
121 48 0
121 49 0
121 50 0
121 51 0
121 52 0
121 53 0
121 54 0
121 55 0
121 56 0
121 57 0
121 58 0
121 59 0
121 60 0
121 61 0
121 62 0
121 63 0
121 64 0
121 65 0
121 66 0
121 67 0
121 68 0
121 69 0
121 70 0
121 71 0
121 72 0
121 73 0
121 74 0
121 75 0
121 76 0
121 77 0
121 78 0
121 79 0
121 80 0
121 81 0
121 82 0
121 83 0
121 84 0
121 85 0
121 86 0
121 87 0
121 88 0
121 89 0
121 90 0
121 91 0
121 92 0
121 93 0
121 94 0
121 95 0
121 96 0
121 97 0
121 98 0
121 99 0
121 100 0
121 101 0
121 102 0
121 103 0
121 104 0
121 105 0
121 106 0
121 107 0
121 108 0
121 109 0
121 110 0
121 111 0
121 112 0
121 113 0
121 114 0
121 115 0
121 116 0
121 117 0
121 118 0
121 119 0
121 120 0
121 121 0
122 0 1
122 1 0
122 2 0
122 3 0
122 4 0
122 5 0
122 6 0
122 7 0
122 8 0
122 9 0
122 10 0
122 11 0
122 12 0
122 13 0
122 14 0
122 15 0
122 16 0
122 17 0
122 18 0
122 19 0
122 20 0
122 21 0
122 22 0
122 23 0
122 24 0
122 25 0
122 26 0
122 27 0
122 28 0
122 29 0
122 30 0
122 31 0
122 32 0
122 33 0
122 34 0
122 35 0
122 36 0
122 37 0
122 38 0
122 39 0
122 40 0
122 41 0
122 42 0
122 43 0
122 44 0
122 45 0
122 46 0
122 47 0
122 48 0
122 49 0
122 50 0
122 51 0
122 52 0
122 53 0
122 54 0
122 55 0
122 56 0
122 57 0
122 58 0
122 59 0
122 60 0
122 61 0
122 62 0
122 63 0
122 64 0
122 65 0
122 66 0
122 67 0
122 68 0
122 69 0
122 70 0
122 71 0
122 72 0
122 73 0
122 74 0
122 75 0
122 76 0
122 77 0
122 78 0
122 79 0
122 80 0
122 81 0
122 82 0
122 83 0
122 84 0
122 85 0
122 86 0
122 87 0
122 88 0
122 89 0
122 90 0
122 91 0
122 92 0
122 93 0
122 94 0
122 95 0
122 96 0
122 97 0
122 98 0
122 99 0
122 100 0
122 101 0
122 102 0
122 103 0
122 104 0
122 105 0
122 106 0
122 107 0
122 108 0
122 109 0
122 110 0
122 111 0
122 112 0
122 113 0
122 114 0
122 115 0
122 116 0
122 117 0
122 118 0
122 119 0
122 120 0
122 121 0
122 122 0
123 0 1
123 1 0
123 2 0
123 3 0
123 4 0
123 5 0
123 6 0
123 7 0
123 8 0
123 9 0
123 10 0
123 11 0
123 12 0
123 13 0
123 14 0
123 15 0
123 16 0
123 17 0
123 18 0
123 19 0
123 20 0
123 21 0
123 22 0
123 23 0
123 24 0
123 25 0
123 26 0
123 27 0
123 28 0
123 29 0
123 30 0
123 31 0
123 32 0
123 33 0
123 34 0
123 35 0
123 36 0
123 37 0
123 38 0
123 39 0
123 40 0
123 41 0
123 42 0
123 43 0
123 44 0
123 45 0
123 46 0
123 47 0
123 48 0
123 49 0
123 50 0
123 51 0
123 52 0
123 53 0
123 54 0
123 55 0
123 56 0
123 57 0
123 58 0
123 59 0
123 60 0
123 61 0
123 62 0
123 63 0
123 64 0
123 65 0
123 66 0
123 67 0
123 68 0
123 69 0
123 70 0
123 71 0
123 72 0
123 73 0
123 74 0
123 75 0
123 76 0
123 77 0
123 78 0
123 79 0
123 80 0
123 81 0
123 82 0
123 83 0
123 84 0
123 85 0
123 86 0
123 87 0
123 88 0
123 89 0
123 90 0
123 91 0
123 92 0
123 93 0
123 94 0
123 95 0
123 96 0
123 97 0
123 98 0
123 99 0
123 100 0
123 101 0
123 102 0
123 103 0
123 104 0
123 105 0
123 106 0
123 107 0
123 108 0
123 109 0
123 110 0
123 111 0
123 112 0
123 113 0
123 114 0
123 115 0
123 116 0
123 117 0
123 118 0
123 119 0
123 120 0
123 121 0
123 122 0
123 123 0
124 0 1
124 1 0
124 2 0
124 3 0
124 4 0
124 5 0
124 6 0
124 7 0
124 8 0
124 9 0
124 10 0
124 11 0
124 12 0
124 13 0
124 14 0
124 15 0
124 16 0
124 17 0
124 18 0
124 19 0
124 20 0
124 21 0
124 22 0
124 23 0
124 24 0
124 25 0
124 26 0
124 27 0
124 28 0
124 29 0
124 30 0
124 31 0
124 32 0
124 33 0
124 34 0
124 35 0
124 36 0
124 37 0
124 38 0
124 39 0
124 40 0
124 41 0
124 42 0
124 43 0
124 44 0
124 45 0
124 46 0
124 47 0
124 48 0
124 49 0
124 50 0
124 51 0
124 52 0
124 53 0
124 54 0
124 55 0
124 56 0
124 57 0
124 58 0
124 59 0
124 60 0
124 61 0
124 62 0
124 63 0
124 64 0
124 65 0
124 66 0
124 67 0
124 68 0
124 69 0
124 70 0
124 71 0
124 72 0
124 73 0
124 74 0
124 75 0
124 76 0
124 77 0
124 78 0
124 79 0
124 80 0
124 81 0
124 82 0
124 83 0
124 84 0
124 85 0
124 86 0
124 87 0
124 88 0
124 89 0
124 90 0
124 91 0
124 92 0
124 93 0
124 94 0
124 95 0
124 96 0
124 97 0
124 98 0
124 99 0
124 100 0
124 101 0
124 102 0
124 103 0
124 104 0
124 105 0
124 106 0
124 107 0
124 108 0
124 109 0
124 110 0
124 111 0
124 112 0
124 113 0
124 114 0
124 115 0
124 116 0
124 117 0
124 118 0
124 119 0
124 120 0
124 121 0
124 122 0
124 123 0
124 124 0
125 0 1
125 1 0
125 2 0
125 3 0
125 4 0
125 5 0
125 6 0
125 7 0
125 8 0
125 9 0
125 10 0
125 11 0
125 12 0
125 13 0
125 14 0
125 15 0
125 16 0
125 17 0
125 18 0
125 19 0
125 20 0
125 21 0
125 22 0
125 23 0
125 24 0
125 25 0
125 26 0
125 27 0
125 28 0
125 29 0
125 30 0
125 31 0
125 32 0
125 33 0
125 34 0
125 35 0
125 36 0
125 37 0
125 38 0
125 39 0
125 40 0
125 41 0
125 42 0
125 43 0
125 44 0
125 45 0
125 46 0
125 47 0
125 48 0
125 49 0
125 50 0
125 51 0
125 52 0
125 53 0
125 54 0
125 55 0
125 56 0
125 57 0
125 58 0
125 59 0
125 60 0
125 61 0
125 62 0
125 63 0
125 64 0
125 65 0
125 66 0
125 67 0
125 68 0
125 69 0
125 70 0
125 71 0
125 72 0
125 73 0
125 74 0
125 75 0
125 76 0
125 77 0
125 78 0
125 79 0
125 80 0
125 81 0
125 82 0
125 83 0
125 84 0
125 85 0
125 86 0
125 87 0
125 88 0
125 89 0
125 90 0
125 91 0
125 92 0
125 93 0
125 94 0
125 95 0
125 96 0
125 97 0
125 98 0
125 99 0
125 100 0
125 101 0
125 102 0
125 103 0
125 104 0
125 105 0
125 106 0
125 107 0
125 108 0
125 109 0
125 110 0
125 111 0
125 112 0
125 113 0
125 114 0
125 115 0
125 116 0
125 117 0
125 118 0
125 119 0
125 120 0
125 121 0
125 122 0
125 123 0
125 124 0
125 125 0
126 0 1
126 1 0
126 2 0
126 3 0
126 4 0
126 5 0
126 6 0
126 7 0
126 8 0
126 9 0
126 10 0
126 11 0
126 12 0
126 13 0
126 14 0
126 15 0
126 16 0
126 17 0
126 18 0
126 19 0
126 20 0
126 21 0
126 22 0
126 23 0
126 24 0
126 25 0
126 26 0
